FID,OBJECTID,SHAPE,PARK,FLAECHE,TYP,TELEFON,EINFRIEDUNG,WEBLINK1,SE_ANNO_CAD_DATA
HUNDEZONEOGD.94441,94441,POINT (16.2684269463152 48.14989762817516),Ölzeltpark,355 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 1Flügeltüre,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94442,94442,POINT (16.309270310106516 48.14832071007472),Michael-Bausback-Park,3834 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94443,94443,POINT (16.3168988101181 48.1529899436455),Wohnparkstraße,1327 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94444,94444,POINT (16.329832879393983 48.15565397758558),Parkanlage Wilhelm-Erben-Gasse,6427 m²,Hundeauslaufplatz,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94445,94445,POINT (16.274415325214633 48.18179545747922),Parkanlage Roter Berg,8155 m²,Hundeauslaufplatz,01 4000 8042,"Stabilgitterzaun 1m, Jägerzaun, frei",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94446,94446,POINT (16.40055850023137 48.219673725278625),Max-Winter-Park,464 m²,Hundezone,01 4000 8042,"Metallzaun 1,6 m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94447,94447,POINT (16.397111550219073 48.22539594565428),Rudolf-Bednar-Park,296 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94448,94448,POINT (16.36860771746415 48.17111027569614),Parkanlage Paltramplatz,481 m²,Hundezone,01 4000 8042,Einfriedung teilweise,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94449,94449,POINT (16.320550502325816 48.17126852559016),Parkanlage Schwenkgasse,1976 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94450,94450,POINT (16.449767543365574 48.23177305675622),Otto-Affenzeller-Park,2401 m²,Hundezone,01 4000 8042,Gitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94451,94451,POINT (16.476812719335317 48.24163171270632),Teich Hirschstetten,27295 m²,Hundeauslaufplatz,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94452,94452,POINT (16.36543121943322 48.191369380718726),Rubenspark,345 m²,Hundezone,01 4000 8042,Metallzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94453,94453,POINT (16.347665232670053 48.18739868219405),Parkanlage Am Hundsturm,212 m²,Hundezone,01 4000 8042,"Metallzaun 1m, Metallzaun 0,6 m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94454,94454,POINT (16.350552647669964 48.18622332653168),Einsiedlerpark,213 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m ,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94455,94455,POINT (16.339053815050278 48.22582929538119),Schubertpark,1336 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94456,94456,POINT (16.327872191206446 48.173577503771554),Edelsinnstraße ggü. 8,1451 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m mit 2 Toren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94457,94457,POINT (16.32101451594461 48.19043457818734),Parkanlage Winckelmannstraße,1382 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 4 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94337,94337,POINT (16.443511723475655 48.25438654108994),Grünanlage Eipeldauer Straße,903 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94338,94338,POINT (16.38010470968884 48.1764942266524),Parkanlage Wielandplatz,310 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94339,94339,POINT (16.368512572280874 48.17454650618906),Laubepark,110 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94340,94340,POINT (16.40757928251955 48.17342321395465),Herderpark/Am Kanal,3221 m²,Hundezone,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94341,94341,POINT (16.408625401159682 48.17219113823456),Herderpark,432 m²,Hundezone,01 4000 8042,"Gitterzaun 2 m, Stabilgitterzaun 1m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94342,94342,POINT (16.496286621936157 48.2255470387046),Yella-Hertzka-Park,540 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94343,94343,POINT (16.42505201274687 48.156780303116236),Parkanlage Pretschgasse,3045 m²,Hundeauslaufplatz,01 4000 8042,"Stabilgitterzaun 1m, Stabilgitterzaun 1,4 m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94344,94344,POINT (16.366577328951735 48.225952227655235),Treppelweg - Roßauer Lände,526 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94345,94345,POINT (16.280414264807966 48.13600866190528),Grünanlage Liesinger Platz,150 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1 m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94346,94346,POINT (16.382806507351862 48.278337768422105),Parkanlage Schlossergasse,800 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1m, 3 Schwingflügeltüren",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
